timestep,time,Tesla Model 3_0,Tesla Model 3_1,Tesla Model 3_2,Tesla Model 3_3,Tesla Model 3_4,Tesla Model 3_5,Tesla Model 3_6,Tesla Model 3_7,Tesla Model 3_8,Tesla Model 3_9
40,2024-06-17 10:00:00,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091
41,2024-06-17 10:15:00,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728
42,2024-06-17 10:30:00,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364
43,2024-06-17 10:45:00,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
44,2024-06-17 11:00:00,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637
45,2024-06-17 11:15:00,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273
46,2024-06-17 11:30:00,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091
47,2024-06-17 11:45:00,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546
48,2024-06-17 12:00:00,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182
49,2024-06-17 12:15:00,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819
50,2024-06-17 12:30:00,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455
51,2024-06-17 12:45:00,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091
52,2024-06-17 13:00:00,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728
53,2024-06-17 13:15:00,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364
54,2024-06-17 13:30:00,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
55,2024-06-17 13:45:00,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637
56,2024-06-17 14:00:00,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273
57,2024-06-17 14:15:00,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909
58,2024-06-17 14:30:00,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546
59,2024-06-17 14:45:00,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182
60,2024-06-17 15:00:00,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187
61,2024-06-17 15:15:00,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455
62,2024-06-17 15:30:00,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091
63,2024-06-17 15:45:00,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275
64,2024-06-17 16:00:00,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364,0.4363636363636364
65,2024-06-17 16:15:00,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.42500000000000004
66,2024-06-17 16:30:00,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637,0.4136363636363637
67,2024-06-17 16:45:00,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273,0.4022727272727273
68,2024-06-17 17:00:00,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093
69,2024-06-17 17:15:00,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546,0.3795454545454546
70,2024-06-17 17:30:00,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182,0.3681818181818182
71,2024-06-17 17:45:00,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187,0.35681818181818187
72,2024-06-17 18:00:00,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546
73,2024-06-17 18:15:00,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091
74,2024-06-17 18:30:00,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275
75,2024-06-17 18:45:00,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364,0.3113636363636364
76,2024-06-17 19:00:00,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
77,2024-06-17 19:15:00,0.3221666666666667,0.3221666666666667,0.3221666666666667,0.3221666666666667,0.3221666666666667,0.3221666666666667,0.3221666666666667,0.3031666666666667,0.30000000000000004,0.30000000000000004
78,2024-06-17 19:30:00,0.3443333333333334,0.3443333333333334,0.3443333333333334,0.3443333333333334,0.3443333333333334,0.3443333333333334,0.3443333333333334,0.30633333333333335,0.30000000000000004,0.30000000000000004
79,2024-06-17 19:45:00,0.36650000000000005,0.36650000000000005,0.36650000000000005,0.36650000000000005,0.36650000000000005,0.36650000000000005,0.36650000000000005,0.3095,0.30000000000000004,0.30000000000000004
80,2024-06-17 20:00:00,0.3886666666666667,0.3886666666666667,0.3886666666666667,0.3886666666666667,0.3886666666666667,0.3886666666666667,0.3886666666666667,0.31266666666666665,0.30000000000000004,0.30000000000000004
81,2024-06-17 20:15:00,0.4108333333333334,0.4108333333333334,0.4108333333333334,0.4108333333333334,0.4108333333333334,0.4108333333333334,0.4108333333333334,0.3158333333333333,0.30000000000000004,0.30000000000000004
82,2024-06-17 20:30:00,0.43300000000000005,0.43300000000000005,0.43300000000000005,0.43300000000000005,0.43300000000000005,0.43300000000000005,0.43300000000000005,0.31899999999999995,0.30000000000000004,0.30000000000000004
83,2024-06-17 20:45:00,0.4551666666666667,0.4551666666666667,0.4551666666666667,0.4551666666666667,0.4551666666666667,0.4551666666666667,0.4551666666666667,0.3221666666666666,0.30000000000000004,0.30000000000000004
84,2024-06-17 21:00:00,0.4773333333333334,0.4773333333333334,0.4773333333333334,0.4773333333333334,0.4773333333333334,0.4773333333333334,0.4773333333333334,0.32533333333333325,0.30000000000000004,0.30000000000000004
85,2024-06-17 21:15:00,0.49950000000000006,0.49950000000000006,0.49950000000000006,0.49950000000000006,0.49950000000000006,0.49950000000000006,0.49950000000000006,0.3284999999999999,0.30000000000000004,0.30000000000000004
86,2024-06-17 21:30:00,0.5216666666666667,0.5216666666666667,0.5216666666666667,0.5216666666666667,0.5216666666666667,0.5216666666666667,0.5216666666666667,0.33166666666666655,0.30000000000000004,0.30000000000000004
87,2024-06-17 21:45:00,0.5438333333333334,0.5438333333333334,0.5438333333333334,0.5438333333333334,0.5438333333333334,0.5438333333333334,0.5438333333333334,0.3348333333333332,0.30000000000000004,0.30000000000000004
88,2024-06-17 22:00:00,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.33799999999999986,0.30000000000000004,0.30000000000000004
89,2024-06-17 22:15:00,0.5881666666666667,0.5881666666666667,0.5881666666666667,0.5881666666666667,0.5881666666666667,0.5881666666666667,0.5881666666666667,0.3411666666666665,0.30000000000000004,0.30000000000000004
90,2024-06-17 22:30:00,0.6103333333333334,0.6103333333333334,0.6103333333333334,0.6103333333333334,0.6103333333333334,0.6103333333333334,0.6103333333333334,0.34433333333333316,0.30000000000000004,0.30000000000000004
91,2024-06-17 22:45:00,0.6325000000000001,0.6325000000000001,0.6325000000000001,0.6325000000000001,0.6325000000000001,0.6325000000000001,0.6325000000000001,0.3474999999999998,0.30000000000000004,0.30000000000000004
92,2024-06-17 23:00:00,0.6546666666666667,0.6546666666666667,0.6546666666666667,0.6546666666666667,0.6546666666666667,0.6546666666666667,0.6546666666666667,0.35066666666666646,0.30000000000000004,0.30000000000000004
93,2024-06-17 23:15:00,0.6768333333333334,0.6768333333333334,0.6768333333333334,0.6768333333333334,0.6768333333333334,0.6768333333333334,0.6768333333333334,0.3538333333333331,0.30000000000000004,0.30000000000000004
94,2024-06-17 23:30:00,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.35699999999999976,0.30000000000000004,0.30000000000000004
95,2024-06-17 23:45:00,0.7211666666666667,0.7211666666666667,0.7211666666666667,0.7211666666666667,0.7211666666666667,0.7211666666666667,0.7211666666666667,0.3601666666666664,0.30000000000000004,0.30000000000000004
96,2024-06-18 00:00:00,0.7433333333333334,0.7433333333333334,0.7433333333333334,0.7433333333333334,0.7433333333333334,0.7433333333333334,0.7433333333333334,0.36333333333333306,0.30000000000000004,0.30000000000000004
97,2024-06-18 00:15:00,0.7655000000000001,0.7655000000000001,0.7655000000000001,0.7655000000000001,0.7655000000000001,0.7655000000000001,0.7655000000000001,0.3664999999999997,0.30000000000000004,0.30000000000000004
98,2024-06-18 00:30:00,0.7876666666666667,0.7876666666666667,0.7876666666666667,0.7876666666666667,0.7876666666666667,0.7876666666666667,0.7876666666666667,0.36966666666666637,0.30000000000000004,0.30000000000000004
99,2024-06-18 00:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.39183333333333303,0.3221666666666667,0.3221666666666667
100,2024-06-18 01:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4139999999999997,0.3443333333333334,0.3443333333333334
101,2024-06-18 01:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.43616666666666637,0.36650000000000005,0.36650000000000005
102,2024-06-18 01:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.45833333333333304,0.3886666666666667,0.3886666666666667
103,2024-06-18 01:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4804999999999997,0.4108333333333334,0.4108333333333334
104,2024-06-18 02:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5026666666666664,0.43300000000000005,0.43300000000000005
105,2024-06-18 02:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.524833333333333,0.4551666666666667,0.4551666666666667
106,2024-06-18 02:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5469999999999997,0.4773333333333334,0.4773333333333334
107,2024-06-18 02:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5691666666666664,0.49950000000000006,0.49950000000000006
108,2024-06-18 03:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.591333333333333,0.5216666666666667,0.5216666666666667
109,2024-06-18 03:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6134999999999997,0.5438333333333334,0.5438333333333334
110,2024-06-18 03:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6356666666666664,0.5660000000000001,0.5660000000000001
111,2024-06-18 03:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.657833333333333,0.5881666666666667,0.5881666666666667
112,2024-06-18 04:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6799999999999997,0.6103333333333334,0.6103333333333334
113,2024-06-18 04:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7021666666666664,0.6325000000000001,0.6325000000000001
114,2024-06-18 04:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.724333333333333,0.6546666666666667,0.6546666666666667
115,2024-06-18 04:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7464999999999997,0.6768333333333334,0.6768333333333334
116,2024-06-18 05:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7686666666666664,0.6990000000000001,0.6990000000000001
117,2024-06-18 05:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.790833333333333,0.7211666666666667,0.7211666666666667
118,2024-06-18 05:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7433333333333334,0.7433333333333334
119,2024-06-18 05:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7655000000000001,0.7655000000000001
120,2024-06-18 06:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7876666666666667,0.7876666666666667
121,2024-06-18 06:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
122,2024-06-18 06:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
123,2024-06-18 06:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
124,2024-06-18 07:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
125,2024-06-18 07:15:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
126,2024-06-18 07:30:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
127,2024-06-18 07:45:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
128,2024-06-18 08:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
129,2024-06-18 08:15:00,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637,0.7886363636363637
130,2024-06-18 08:30:00,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273,0.7772727272727273
131,2024-06-18 08:45:00,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091,0.765909090909091
132,2024-06-18 09:00:00,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546,0.7545454545454546
133,2024-06-18 09:15:00,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182,0.7431818181818182
134,2024-06-18 09:30:00,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7318181818181819
135,2024-06-18 09:45:00,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455
136,2024-06-18 10:00:00,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091
137,2024-06-18 10:15:00,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728,0.6977272727272728
138,2024-06-18 10:30:00,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364,0.6863636363636364
139,2024-06-18 10:45:00,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
140,2024-06-18 11:00:00,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637,0.6636363636363637
141,2024-06-18 11:15:00,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273,0.6522727272727273
142,2024-06-18 11:30:00,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091,0.640909090909091
143,2024-06-18 11:45:00,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546,0.6295454545454546
144,2024-06-18 12:00:00,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182
145,2024-06-18 12:15:00,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819,0.6068181818181819
146,2024-06-18 12:30:00,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455,0.5954545454545455
147,2024-06-18 12:45:00,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091,0.5840909090909091
148,2024-06-18 13:00:00,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728
149,2024-06-18 13:15:00,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364,0.5613636363636364
150,2024-06-18 13:30:00,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
151,2024-06-18 13:45:00,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637,0.5386363636363637
152,2024-06-18 14:00:00,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273,0.5272727272727273
153,2024-06-18 14:15:00,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909,0.5159090909090909
154,2024-06-18 14:30:00,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546,0.5045454545454546
155,2024-06-18 14:45:00,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182,0.4931818181818182
156,2024-06-18 15:00:00,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187,0.48181818181818187
157,2024-06-18 15:15:00,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455,0.4704545454545455
158,2024-06-18 15:30:00,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091,0.4590909090909091
159,2024-06-18 15:45:00,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275,0.44772727272727275
